source_idx,target_idx,ratio
6,38,2.9448764590684684e-6
6,39,0.000015925403339708974
6,40,0.000018127563996067484
6,41,0.00323580493057854
6,42,0.000011677243155692084
6,43,0.000015526723256283267
6,44,4.128236136953449e-6
6,45,0.0004651867260201903
6,46,0.00009007147722437177
6,47,0.00008024287865371929
6,48,0.000011985715523941126
6,49,0.00004334096928416344
6,50,0.000044228320609926836
6,51,1.9124805595293653e-6
6,52,9.523663288061712e-8
7,1,1.8667689662612698e-6
7,2,9.93899269839809e-6
7,3,0.00009556955967239315
7,4,6.083735672409784e-6
7,5,1.1323172851818485e-6
7,6,7.3920686206114595e-6
7,7,0.9979346968996423
7,8,0.0007173695114240823
7,9,1.7664124575380535e-6
7,10,3.888178474071675e-6
7,11,0.000015822729946865148
7,12,0.000017830712618842656
7,13,5.850565065821007e-6
7,14,9.972791717450919e-6
7,15,0.000012217003957682169
7,16,9.17555610186984e-6
7,17,0.00001859787262362709
7,18,0.000025800887383957995
7,19,4.874756294680472e-6
7,20,3.4727489138516714e-6
7,21,1.4400438139913438e-6
7,22,4.213995501580432e-6
7,23,7.643618070646624e-6
7,24,2.442267471313002e-6
7,25,0.000014162679090827136
7,26,1.0127419722271906e-6
7,27,2.6948825432396444e-6
7,28,0.00037297839346496975
7,29,0.000027458794459484866
7,30,0.000025891866420035987
7,31,4.1409690601921975e-6
7,32,2.0081957963557815e-6
7,33,8.090088569729674e-6
7,34,4.638840144630061e-7
7,35,0.000014329680846317683
7,36,5.983191112764515e-6
7,37,3.3781216898862943e-6
7,38,0.000010931487854686745
7,39,3.8045835708653673e-6
7,40,1.629348408834632e-6
7,41,0.00004363381900368071
7,42,1.2220677219025829e-6
7,43,0.000020121060018611886
7,44,3.0136163193519492e-6
7,45,0.000010339854580524882
7,46,0.0004757152382225083
7,47,4.3335708145350755e-6
7,48,7.941829222801414e-6
7,49,1.5368398919241252e-6
7,50,0.000014031808185822547
7,52,9.13927481064622e-8
8,1,0.000014547553435059521
8,2,0.000018547299177050044
8,3,0.00007402039560436143
8,4,0.000017380363171449852
8,5,1.7025072484279823e-6
8,6,6.3220747103467795e-6
8,7,0.00013985027228587173
8,8,0.9833959013343789
8,9,0.00001573194390518066
8,10,3.9653175610969705e-6
8,11,0.000010253032768857118
8,12,0.00014612704729370435
8,13,0.00001615031943271569
8,14,0.000011611555814346526
8,15,0.000013921293759767953
8,16,9.662783419159243e-6
8,17,0.0078046203059587305
8,18,0.00001982713723194019
8,19,0.000030981348938678686
8,20,0.000020555854766588282
8,21,4.831498542501478e-6
8,22,0.0001264931428373781
8,23,0.00001862424940448934
8,24,0.000012041512539340556
8,25,0.0016057793702923396
8,26,0.000028001043635440088
8,27,3.427485021422897e-6
8,28,0.00030779192307354893
8,29,0.000024663921460433304
8,30,0.00005570875459111348
8,31,0.00004841674123945622
8,32,3.7420901708468935e-6
8,33,8.604145472644587e-6
8,34,4.330370742413193e-6
8,35,0.000021578533260329278
8,36,8.819334957344298e-6
8,37,3.5400487664602905e-6
8,38,0.000012615759843526785
8,39,0.00001242272038462834
8,40,2.522165035998541e-6
8,41,0.00003220728215356177
8,42,0.00001424370788705254
8,43,0.005240513020943282
8,44,0.000020898350939543697
8,45,0.00001996941579110379
8,46,0.0002544022746576489
8,47,0.000011959062960065858
8,48,0.000029074709412964618
8,49,7.202680679844913e-6
8,50,0.0002831880595206948
8,51,2.698904843388622e-7
8,52,4.36992435991554e-7
9,1,0.0164393507316065
9,2,0.00006406625272265477
9,3,0.00007024112901827436
9,4,7.980041455797997e-6
9,5,0.0002155767779467064
9,6,0.00005700612915245997
9,7,1.8855236321719993e-6
9,8,0.00031714939189456993
9,9,0.9382485375027908
9,10,0.00011078119119261793
9,11,0.000012717953580989364
9,12,0.00004299816802469934
9,13,0.0001093797070638253
9,14,0.00002910469635955525
9,15,0.00008729601179509471
9,16,0.00010490063285961621
9,17,0.00003132415508575322
9,18,0.000027907053838791155
9,19,0.0001934171760743252
9,20,0.0010458947424352224
9,21,0.00001823993415479871
9,22,0.00006485149034881703
9,23,0.00005019472562065153
