id,date,value
14,2021-08-28,128
15,2021-08-28,85
16,2021-08-28,398
17,2021-08-28,46
18,2021-08-28,14
19,2021-08-28,13
01,2021-08-27,1127
02,2021-08-27,183
03,2021-08-27,42
04,2021-08-27,162
05,2021-08-27,174
06,2021-08-27,113
07,2021-08-27,337
08,2021-08-27,415
09,2021-08-27,971
10,2021-08-27,506
11,2021-08-27,246
12,2021-08-27,350
13,2021-08-27,1066
14,2021-08-27,172
15,2021-08-27,84
16,2021-08-27,335
17,2021-08-27,48
18,2021-08-27,14
19,2021-08-27,18
01,2021-08-26,1155
02,2021-08-26,176
03,2021-08-26,38
04,2021-08-26,155
05,2021-08-26,168
06,2021-08-26,86
07,2021-08-26,284
08,2021-08-26,399
09,2021-08-26,897
10,2021-08-26,547
11,2021-08-26,301
12,2021-08-26,397
13,2021-08-26,983
14,2021-08-26,188
15,2021-08-26,85
16,2021-08-26,319
17,2021-08-26,49
18,2021-08-26,18
19,2021-08-26,25
01,2021-08-25,1357
02,2021-08-25,232
03,2021-08-25,54
04,2021-08-25,216
05,2021-08-25,181
06,2021-08-25,108
07,2021-08-25,325
08,2021-08-25,454
09,2021-08-25,951
10,2021-08-25,602
11,2021-08-25,346
12,2021-08-25,425
13,2021-08-25,1146
14,2021-08-25,201
15,2021-08-25,87
16,2021-08-25,296
17,2021-08-25,70
18,2021-08-25,44
19,2021-08-25,22
01,2021-08-24,1447
02,2021-08-24,245
03,2021-08-24,57
04,2021-08-24,235
05,2021-08-24,204
06,2021-08-24,108
07,2021-08-24,420
08,2021-08-24,488
09,2021-08-24,1114
10,2021-08-24,607
11,2021-08-24,354
12,2021-08-24,562
13,2021-08-24,1214
14,2021-08-24,250
15,2021-08-24,98
16,2021-08-24,478
17,2021-08-24,57
18,2021-08-24,20
19,2021-08-24,26
01,2021-08-23,1525
02,2021-08-23,238
03,2021-08-23,74
04,2021-08-23,226
05,2021-08-23,215
06,2021-08-23,157
07,2021-08-23,494
08,2021-08-23,490
09,2021-08-23,1224
10,2021-08-23,790
11,2021-08-23,423
12,2021-08-23,501
13,2021-08-23,1368
14,2021-08-23,273
15,2021-08-23,90
16,2021-08-23,498
17,2021-08-23,51
18,2021-08-23,50
19,2021-08-23,54
01,2021-08-22,859
02,2021-08-22,185
03,2021-08-22,55
04,2021-08-22,215
05,2021-08-22,202
06,2021-08-22,126
07,2021-08-22,341
08,2021-08-22,302
09,2021-08-22,745
10,2021-08-22,501
11,2021-08-22,310
12,2021-08-22,485
13,2021-08-22,930
14,2021-08-22,167
15,2021-08-22,89
16,2021-08-22,506
17,2021-08-22,51
18,2021-08-22,17
19,2021-08-22,22
01,2021-08-21,1284
02,2021-08-21,231
03,2021-08-21,68
04,2021-08-21,225
05,2021-08-21,230
06,2021-08-21,121
07,2021-08-21,356
08,2021-08-21,418
09,2021-08-21,951
10,2021-08-21,614
11,2021-08-21,360
12,2021-08-21,491
13,2021-08-21,966
14,2021-08-21,208
15,2021-08-21,112
16,2021-08-21,617
17,2021-08-21,57
18,2021-08-21,18
19,2021-08-21,34
01,2021-08-20,1841
02,2021-08-20,231
03,2021-08-20,86
04,2021-08-20,293
05,2021-08-20,240
06,2021-08-20,119
07,2021-08-20,488
08,2021-08-20,597
09,2021-08-20,1224
10,2021-08-20,814
11,2021-08-20,379
12,2021-08-20,601
13,2021-08-20,1493
14,2021-08-20,330
15,2021-08-20,117
16,2021-08-20,496
17,2021-08-20,90
18,2021-08-20,33
19,2021-08-20,24
01,2021-08-19,1937
02,2021-08-19,253
03,2021-08-19,70
04,2021-08-19,319
05,2021-08-19,233
06,2021-08-19,137
07,2021-08-19,492
08,2021-08-19,545
09,2021-08-19,1429
10,2021-08-19,753
11,2021-08-19,489
12,2021-08-19,659
13,2021-08-19,1290
14,2021-08-19,296
15,2021-08-19,134
16,2021-08-19,369
17,2021-08-19,83
18,2021-08-19,30
19,2021-08-19,33
01,2021-08-18,2003
02,2021-08-18,305
03,2021-08-18,65
04,2021-08-18,296
05,2021-08-18,256
06,2021-08-18,134
07,2021-08-18,559
08,2021-08-18,579
09,2021-08-18,1458
10,2021-08-18,889
11,2021-08-18,446
12,2021-08-18,627
13,2021-08-18,1459
