"codine","CA","CP","src_indx"
5205,7,5,7099
5207,7,5,3454
5209,7,5,25
5210,7,5,50
5211,7,5,2760
5212,7,5,1650
5213,7,5,185
5215,7,5,1124
5216,7,5,1359
5218,7,5,817
5220,7,5,2581
5221,7,5,2415
5222,7,5,761
5225,7,5,2493
5227,7,5,2912
5228,7,5,1152
5230,7,5,145
5231,7,5,1151
5232,7,5,190
5233,7,5,1657
5235,7,5,585
5236,7,5,529
5237,7,5,1232
5238,7,5,3654
5239,7,5,1487
5240,7,5,5604
5241,7,5,5535
5242,7,5,3422
5243,7,5,84
5245,7,5,2357
5247,7,5,1651
5249,7,5,195
5253,7,5,7098
5254,7,5,1598
5256,7,5,428
5257,7,5,640
5258,7,5,571
5259,7,5,658
5260,7,5,167
5262,7,5,2378
5263,7,5,1035
5266,7,5,249
5267,7,5,279
5901,7,5,1905
5902,7,5,2043
5903,7,5,863
5904,7,5,673
5905,7,5,1564
6001,11,6,3416
6002,11,6,5771
6003,11,6,3717
6004,11,6,4616
6005,11,6,4695
6006,11,6,5754
6007,11,6,4571
6008,11,6,3308
6009,11,6,1473
6010,11,6,4083
6011,11,6,6740
6012,11,6,5512
6013,11,6,1916
6014,11,6,6069
6015,11,6,6912
6016,11,6,5366
6017,11,6,1999
6018,11,6,3608
6019,11,6,4930
6020,11,6,4821
6021,11,6,3918
6022,11,6,5235
6023,11,6,5704
6024,11,6,4227
6025,11,6,5877
6026,11,6,3779
6027,11,6,3592
6028,11,6,5693
6029,11,6,4248
6030,11,6,954
6031,11,6,2909
6033,11,6,4423
6034,11,6,1207
6035,11,6,3925
6036,11,6,5887
6037,11,6,4827
6038,11,6,3700
6039,11,6,4805
6040,11,6,4123
6041,11,6,2851
6042,11,6,4010
6043,11,6,3325
6044,11,6,6761
6045,11,6,2991
6046,11,6,4329
6047,11,6,3820
6048,11,6,3748
6049,11,6,4065
6050,11,6,5679
6051,11,6,4608
6052,11,6,5637
6053,11,6,3287
6054,11,6,5928
6055,11,6,4929
6056,11,6,2858
6057,11,6,3041
6058,11,6,4946
6059,11,6,4816
6060,11,6,5978
6061,11,6,4126
6062,11,6,3265
6063,11,6,5373
6064,11,6,3757
6065,11,6,2101
6066,11,6,4709
6067,11,6,4912
6068,11,6,2769
6069,11,6,5400
6070,11,6,6193
6071,11,6,1791
6072,11,6,5087
6073,11,6,3595
6074,11,6,5815
6075,11,6,2905
6076,11,6,3766
6077,11,6,2402
6078,11,6,3038
6079,11,6,3333
6080,11,6,4855
6081,11,6,4103
6082,11,6,2557
6083,11,6,6828
6084,11,6,4164
6085,11,6,5524
6086,11,6,4292
6087,11,6,5004
6088,11,6,6456
6089,11,6,3286
6090,11,6,3796
6091,11,6,5607
6092,11,6,3216
6093,11,6,5744
6094,11,6,4534
6095,11,6,6308
6096,11,6,1699
6097,11,6,5126
6098,11,6,3235
6099,11,6,4195
6100,11,6,3902
6101,11,6,2987
6102,11,6,4051
6103,11,6,5820
6104,11,6,3474
6105,11,6,3362
6106,11,6,2750
6107,11,6,4600
6108,11,6,5076
6109,11,6,5643
6110,11,6,1079
6111,11,6,3113
6112,11,6,2642
6113,11,6,5305
6114,11,6,649
6115,11,6,4317
6116,11,6,4630
6117,11,6,4495
6118,11,6,1409
6119,11,6,3534
6120,11,6,5515
6121,11,6,5522
6122,11,6,6071
6123,11,6,5796
6124,11,6,4694
6125,11,6,4729
6126,11,6,5034
6127,11,6,5351
6128,11,6,5755
6129,11,6,3349
6130,11,6,1485
6131,11,6,4050
6132,11,6,3793
6133,11,6,4802
6134,11,6,3171
6135,11,6,4255
6136,11,6,4592
6137,11,6,3986
6138,11,6,4079
