id,Y,M,O,Total
06103,1304,3038,2195,6537
06108_AM,923,3689,2459,7071
06109_AM,2219,6173,2949,11341
06113_AM,522,3031,2560,6113
06117_AM,508,2572,2211,5291
06120_AM,1276,4492,3053,8821
06121_AM,917,4799,3369,9085
06122,1530,4138,2662,8330
06123_AM,532,4286,3171,7989
06125_AM,699,2767,1873,5339
06127_AM,1363,4175,2443,7981
06128_AM,1831,6395,2410,10636
06149,2591,6671,4424,13686
06153,3604,14419,8186,26209
06154_AM,1006,3148,2158,6312
06155_AM,1132,4647,2619,8398
06158,1718,8117,6974,16809
06162_AM,1006,3915,2529,7450
07001,779,2882,2297,5958
07002,2768,5326,1240,9334
07003,2418,9327,8751,20496
07004,946,3578,1773,6297
07005,637,5836,4916,11389
07006,1952,4521,1496,7969
07008,644,3760,4013,8417
07010,617,3416,3441,7474
07011,7293,26203,15890,49386
07012_AM,526,2142,1206,3874
07013,991,4858,5512,11361
07014,1357,6288,4472,12117
07015,3661,11523,14270,29454
07016,280,2066,2104,4450
07020,544,2277,2100,4921
07022,1784,7572,8466,17822
07023_AM,1093,3332,1778,6203
07024,1369,7076,3956,12401
07026,5984,21261,21532,48777
07027,6096,19665,5283,31044
07029,1017,3053,1852,5922
07030_AM,420,2335,1780,4535
07031,9910,20846,6214,36970
07032,6632,16226,5394,28252
07033,4773,25603,10374,40750
07036,4461,17169,14909,36539
07037,776,2137,2127,5040
07038_AM,925,3020,1807,5752
07039,365,4399,2458,7222
0704001,1575,11291,8665,21531
0704002,8130,57573,44070,109773
0704003,6586,44551,34391,85528
0704004,10388,73414,55967,139769
0704005,2731,18507,13994,35232
07042,1127,10961,4535,16623
07043,765,2267,2426,5458
07044,2056,9301,2265,13622
07045_AM,719,3125,1819,5663
07046,2333,11038,12234,25605
07047_AM,636,3338,1732,5706
07048,1672,14198,11160,27030
07050,858,3125,2456,6439
07051,1397,4970,2837,9204
07052,953,3688,2537,7178
07054,4913,20911,11120,36944
07055,1065,5738,5735,12538
07056,1440,4396,2193,8029
07057,3393,6994,1498,11885
07058_AM,1045,3151,2250,6446
07059,606,2665,1993,5264
07060_AM,649,3199,3201,7049
07061,1578,7979,4962,14519
07062,2219,6812,3263,12294
07064,763,3312,3338,7413
07065_AM,1301,3517,2401,7219
08001,1379,6454,4170,12003
