id,area,Y,M,O,Total
0801908,8046232.464324782,13302,86601,63344,163247
0801909,6585299.07910614,16755,77906,50300,144961
0801910,10546587.189328192,24322,123617,79143,227082
08020,50420891.036550805,1334,4245,1592,7171
08022,22562539.426037416,1862,8734,5557,16153
08023,28842780.012995183,1113,6140,3399,10652
08029,9047581.925451003,671,2030,2063,4764
08030,6989195.7923262315,975,5035,1873,7883
08031_AM,471120904.88443613,1005,3917,2902,7824
08033,37641421.16865753,3502,12616,2094,18212
08035,7893382.089905011,4661,8404,5531,18596
08037_AM,16670631.843231859,497,2556,1622,4675
08040,6316812.236838874,2374,8082,4131,14587
08041,6793587.492706632,1562,9766,4492,15820
08043_AM,53029215.182288915,1963,5396,1722,9081
08044_AM,9416108.645955898,977,3935,1927,6839
08046,12145960.631007034,3108,11108,3996,18212
08047_AM,168643817.84702504,686,3017,1738,5441
08051_AM,86484839.73962723,3512,14389,9836,27737
08053_AM,53770006.64511462,528,3848,2939,7315
08054,31137424.127221763,994,7881,4337,13212
0805601,1026468.8765929049,3473,10292,3989,17754
0805602,430983.5853805498,2368,6966,2647,11981
0805603,2373201.5541092963,1968,5868,2309,10145
0805604,4799016.774032703,2580,7589,2884,13053
0805605,4058897.520317189,2619,7705,2928,13252
08064_AM,263501412.84150022,874,3467,2340,6681
08067,15369801.110210946,632,3750,2868,7250
08068_AM,29627673.545162953,1938,6099,3970,12007
08069,18218644.404147036,800,2369,1494,4663
08072,18325238.486467957,1108,6030,8436,15574
0807301,1683078.918884779,2708,12676,5113,20497
0807302,2533717.457128229,774,3660,1512,5946
0807303,1432818.693297411,1800,8401,3353,13554
0807304,584533.2179624614,2803,13166,5242,21211
0807305,185992.9253590628,1305,6132,2441,9878
0807306,412837.13878944743,1883,8844,3521,14248
08074,13322549.969224857,3329,8811,2889,15029
08075,40764170.0115427,897,2933,1907,5737
08076,27207701.643988896,3613,12616,6186,22415
08077,4507132.085816622,9150,19830,16039,45019
08085_AM,54079049.35671131,991,2783,1529,5303
08086,29446385.01712982,3870,10698,4969,19537
08088,19043205.815969918,3499,9858,3095,16452
08089,30895084.078388058,8466,24638,13005,46109
08091_AM,43050843.14116909,970,4572,3619,9161
08092_AM,152458052.19660777,1172,4376,3337,8885
08094_AM,45489328.076825365,1093,3161,1097,5351
0809601,3079120.3115373203,3377,7804,4201,15382
0809602,820592.4361951348,2471,5459,2969,10899
0809603,1361043.1877559086,3531,7835,4239,15605
0809604,9553848.619644342,3916,8802,4855,17573
08098_AM,54467669.445312925,1150,2619,1840,5609
08100_AM,122388004.80783492,680,2739,1813,5232
0810101,2959121.790611907,4281,22912,22112,49305
0810102,987129.4878314902,3620,23112,22834,49566
0810103,3640603.981600205,3091,19735,19497,42323
0810104,790782.7279455317,3070,19601,19365,42036
0810105,930993.0199494942,2807,17440,17189,37436
0810106,3141139.4672026425,2241,14082,13535,29858
08102,8104533.549540211,9772,24376,4444,38592
08105,3063745.3324937136,1476,6557,4954,12987
08106,27704590.232212882,1375,5227,3641,10243
08107,22514510.16534476,2905,8456,3889,15250
08108,10837000.228920309,742,2888,2957,6587
08110,8740343.090195876,3799,10753,4349,18901
08112,17163673.291797146,3489,10883,6145,20517
0811301_AD,19565206.144938767,1696,4757,4355,10808
0811302,5773991.567533567,3346,9455,8714,21515
0811304,4365226.332951688,3225,9279,8240,20744
0811305,11935666.920722337,3283,9264,8417,20964
08114,12832529.783891127,3430,13054,10087,26571
08115_AM,8124424.037029453,932,3663,1167,5762
08118,3405400.3174422365,5053,13057,5145,23255
08119,17130673.363606613,965,5027,3417,9409
08120,25487866.98218117,925,4338,4378,9641
0812101,787096.9329413138,2118,6697,3348,12163
0812102,6048409.640822065,3491,11030,5509,20030
0812103,9765965.49178243,4189,13333,6654,24176
0812104,1608445.024184052,2779,8877,4415,16071
0812105,1382052.1131145891,5324,16831,8415,30570
0812106,2710315.8965844596,3981,12576,6372,22929
08122_AM,79083918.86354151,1277,3508,1697,6482
08123,15790201.105688455,3550,16495,5285,25330
0812401,1608011.4185899787,2260,6886,2558,11704
0812402,2951533.0635857023,2859,8670,2889,14418
0812403,6328730.207767577,4839,14110,4889,23838
08125,23514686.544369593,5375,20831,9199,35405
08126,2913003.8377348427,1546,5755,4192,11493
08135,4129882.0781992166,1272,3765,2992,8029
08136,10319064.812662024,1218,8553,6570,16341
08138,75928805.47717805,1648,3465,1313,6426
08140,5510424.130922288,786,2587,2729,6102
08141,80933280.35970129,929,3517,1740,6186
08143_AM,204312885.82614216,920,3245,2598,6763
08145_AM,77242626.52036501,1595,3563,1189,6347
08147,16689297.922653446,3563,11658,9047,24268
08155_AM,29146648.06449339,1905,6805,5236,13946
08156,14980398.828861888,1092,6637,7110,14839
08157,8515109.707917852,1701,5846,4563,12110
08158,8760658.513453245,557,1979,1369,3905
08159,8830504.013787514,4318,9263,4711,18292
08161,57160056.51079757,2690,9794,4788,17272
08162_AM,81005786.37613058,1042,2985,1857,5884
08163,10475954.537688596,4809,11856,10770,27435
08167,8799661.187607693,1085,3968,3522,8575
0816901,2176034.3970340197,764,3683,3978,8425
0816902,686628.4391334658,1095,5269,6159,12523
0816903,5173511.59027191,1779,8540,9972,20291
0816904,10071518.83079824,583,2796,3263,6642
0816905,13427420.917824017,1241,5975,6984,14200
08171_AM,208702760.92247286,859,2929,1825,5613
08172,1976705.3767533945,3420,16848,7768,28036
08175_AM,229305698.24034813,1060,3440,1581,6081
08180,4334949.169112683,4975,23627,9289,37891
08181,37003032.8725337,2415,5998,2630,11043
08182,27646389.3464875,852,2149,849,3850
08183,2223687.04651764,1270,3901,1199,6370
0818401,8250351.4536640225,1249,3125,2161,6535
0818402,17351514.297628857,1974,5043,3468,10485
0818403,1612064.2180818939,2783,7166,5019,14968
0818404,5032736.011293436,7941,20541,14289,42771
0818701,4073223.183897637,9459,27232,16339,53030
0818702,7691341.534858593,4286,12438,7554,24278
0818703,7104751.105015902,6043,17593,10831,34467
0818704,3821806.8919882216,6776,19621,11888,38285
0818705,4374195.407272658,3383,10200,6181,19764
