id,area
03047,23523100.331054173
03048,34658151.080060355
03049,24881358.906517345
03050,55335478.84554457
03053,114655536.54933168
03055,19926660.992583968
03056,52842447.31457696
03058_AM,36410438.34440463
03059,105032990.61176306
03063,66420632.52728303
03064,18598668.196196496
0306501,2609744.8056107676
0306502,4473766.51564701
0306503,2249109.0710738585
0306504,1263505.4188401087
0306505,853485.2176228917
0306506,1014892.8447550423
0306507,314308743.9221346
0306601,1656771.6229981147
0306602_AD,41600623.048768535
0306604,1922565.5900898841
0306605,686368.5663820859
03069,42496649.214297384
03070_AM,18944954.947323017
03071,20358609.00378815
03076,35648037.78736082
03077_AM,143456290.77968124
03079,62880479.99336978
03081_AM,76085542.74590054
03082,68765002.5840434
03083,163951130.40147072
03088,79628607.23773661
03089,152562947.89374664
03090,47950389.15276176
03092_AM,76922703.28468661
03093,75666871.37927023
03094,21392528.388018467
03095,10410363.4845882
03096,48332458.48170335
03097_AM,122324908.06092943
0309901,1062071.158861299
0309902,712628.5542558203
0309903,930891.0920614603
0309904,1196161.4084670348
0309905,154803599.3242997
0309906,45094825.56859833
0309907,112069977.1299054
0309908,49900523.95001039
03101,29617519.407503866
03102,52897854.27187264
03104,104522849.5047769
03105,126636442.71260563
03107,22643728.878232654
03109,1569527.211046004
03111,9475131.23292964
03113,27570461.4128789
03118,19951785.59358325
03119,9749646.611828454
03120,54997486.03496583
03121,58239607.6999033
0312201,1323372.2802655837
0312202,741306.7635904467
0312203,38324328.28746871
03123_AM,125347964.38942909
03128_AM,45048446.38006285
0313301,22851240.555418566
0313302,40908666.3087372
0313303,7750992.4657668965
03138_AM,11856423.08674221
03139,59324070.25200807
03140,345837576.2746074
03902,78094323.12765275
03903_AM,51084998.41039836
04003,90240247.55710185
04006,168699756.7578991
04011_AM,190420760.2410434
0401301_AD,661801.2151974593
0401303,26249763.63075692
0401304,271860.80503602995
0401305,10190696.815409835
0401306,12131775.734060412
0401307,33328212.251890738
0401308,214078704.85260257
04016_AM,319535081.6411695
04017_AM,182054342.03047788
04024_AM,62760922.017651156
04029,186110731.44867468
04031_AM,250144719.28275454
04032,95647352.41175072
04035,265276458.82950294
04038_AM,173428652.7637499
04045_AM,381315784.51294625
04047_AM,159260575.12471217
04049,7694036.452158254
